service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
G2511F_I2_001-01,0,0,0,0,0,0,0,20260501,20260501
G2511F_I2_001-02,0,0,0,0,0,0,0,20260501,20260501
G2511F_I2_001-03,0,0,0,0,0,0,0,20260501,20260501
G2511F_I2_001-04,0,0,0,0,0,0,0,20260501,20260501
G2511F_I2_001-05,0,0,0,0,0,0,0,20260501,20260501
G2511F_I2_001-06,0,0,0,0,0,0,0,20260501,20260501
G2511F_I2_001-07,0,0,0,0,0,0,0,20260501,20260501
G2511F_I2_001-08,0,0,0,0,0,0,0,20260501,20260501
G2511F_I2_001-09,0,0,0,0,0,0,0,20260501,20260501
G2511F_I2_001-10,0,0,0,0,0,0,0,20260501,20260501
G2511F_I2_002-01,0,0,0,0,0,0,0,20260501,20260501
G2511F_I2_002-02,0,0,0,0,0,0,0,20260501,20260501
G2511F_I2_002-03,0,0,0,0,0,0,0,20260501,20260501
G2511F_I2_002-04,0,0,0,0,0,0,0,20260501,20260501
G2511F_I2_003-01,0,0,0,0,0,0,0,20260501,20260501
G2511F_I2_003-02,0,0,0,0,0,0,0,20260501,20260501
G2511F_I2_003-03,0,0,0,0,0,0,0,20260501,20260501
G2511F_I2_003-04,0,0,0,0,0,0,0,20260501,20260501
G2511F_I2_003-05,0,0,0,0,0,0,0,20260501,20260501
G2511F_I2_003-06,0,0,0,0,0,0,0,20260501,20260501
G2511F_I2_003-07,0,0,0,0,0,0,0,20260501,20260501
G2511F_I2_004-01,0,0,0,0,0,0,0,20260501,20260501
G2511F_I2_004-02,0,0,0,0,0,0,0,20260501,20260501
G2511F_I2_004-03,0,0,0,0,0,0,0,20260501,20260501
G2511F_I2_004-04,0,0,0,0,0,0,0,20260501,20260501
G2511F_I2_005-01,0,0,0,0,0,0,0,20260501,20260501
G2511F_I2_005-02,0,0,0,0,0,0,0,20260501,20260501
G2511F_I2_005-03,0,0,0,0,0,0,0,20260501,20260501
G2511F_I2_007-01,0,0,0,0,0,0,0,20260501,20260501
G2511F_I2_007-02,0,0,0,0,0,0,0,20260501,20260501
G2511F_I2_007-03,0,0,0,0,0,0,0,20260501,20260501
G2511F_I2_007-04,0,0,0,0,0,0,0,20260501,20260501
G2511F_I2_007-05,0,0,0,0,0,0,0,20260501,20260501
G2511F_I2_007-06,0,0,0,0,0,0,0,20260501,20260501
G2511F_I2_007-07,0,0,0,0,0,0,0,20260501,20260501
G2511F_I2_007-08,0,0,0,0,0,0,0,20260501,20260501
G2511F_I2_007-09,0,0,0,0,0,0,0,20260501,20260501
G2511F_I2_008-01,0,0,0,0,0,0,0,20260501,20260501
G2511F_I2_008-02,0,0,0,0,0,0,0,20260501,20260501
G2511F_I2_008-03,0,0,0,0,0,0,0,20260501,20260501
G2511F_I2_008-04,0,0,0,0,0,0,0,20260501,20260501
G2511F_I2_008-05,0,0,0,0,0,0,0,20260501,20260501
G2511F_I2_008-06,0,0,0,0,0,0,0,20260501,20260501
G2511F_I2_008-07,0,0,0,0,0,0,0,20260501,20260501
G2511F_I2_008-08,0,0,0,0,0,0,0,20260501,20260501
G2511F_I2_008-09,0,0,0,0,0,0,0,20260501,20260501
G2511F_I2_009-01,0,0,0,0,0,0,0,20260501,20260501
G2511F_I2_010-01,0,0,0,0,0,0,0,20260501,20260501
G2511F_I2_011-01,0,0,0,0,0,0,0,20260501,20260501
G2511F_I2_011-02,0,0,0,0,0,0,0,20260501,20260501
G2511F_I2_011-03,0,0,0,0,0,0,0,20260501,20260501
G2511F_I2_011-04,0,0,0,0,0,0,0,20260501,20260501
G2511F_I2_011-05,0,0,0,0,0,0,0,20260501,20260501
G2511F_I2_014-01,0,0,0,0,0,0,0,20260501,20260501
G2511F_I2_014-02,0,0,0,0,0,0,0,20260501,20260501
G2511F_I2_014-03,0,0,0,0,0,0,0,20260501,20260501
G2511F_I2_014-04,0,0,0,0,0,0,0,20260501,20260501
G2511F_I2_015-01,0,0,0,0,0,0,0,20260501,20260501
G2511F_I2_015-02,0,0,0,0,0,0,0,20260501,20260501
G2511F_I2_015-03,0,0,0,0,0,0,0,20260501,20260501
G2511F_I2_015-04,0,0,0,0,0,0,0,20260501,20260501
G2511F_I2_015-05,0,0,0,0,0,0,0,20260501,20260501
G2511F_I2_015-06,0,0,0,0,0,0,0,20260501,20260501
G2511F_I2_015-07,0,0,0,0,0,0,0,20260501,20260501
G2511F_I2_015-08,0,0,0,0,0,0,0,20260501,20260501
G2511F_I2_015-09,0,0,0,0,0,0,0,20260501,20260501
G2511F_I2_015-10,0,0,0,0,0,0,0,20260501,20260501
G2511F_I2_017-01,0,0,0,0,0,0,0,20260501,20260501
G2511F_I2_017-02,0,0,0,0,0,0,0,20260501,20260501
G2511F_I2_017-03,0,0,0,0,0,0,0,20260501,20260501
G2511F_I2_017-04,0,0,0,0,0,0,0,20260501,20260501
G2511F_I2_018-01,0,0,0,0,0,0,0,20260501,20260501
G2511F_I2_018-02,0,0,0,0,0,0,0,20260501,20260501
G2511F_I2_018-03,0,0,0,0,0,0,0,20260501,20260501
G2511F_I2_019-01,0,0,0,0,0,0,0,20260501,20260501
G2511F_I2_019-02,0,0,0,0,0,0,0,20260501,20260501
G2511F_I2_019-03,0,0,0,0,0,0,0,20260501,20260501
G2511F_I2_020-01,0,0,0,0,0,0,0,20260501,20260501
G2511F_I2_020-02,0,0,0,0,0,0,0,20260501,20260501
G2511F_I2_020-03,0,0,0,0,0,0,0,20260501,20260501
G2511F_I2_020-04,0,0,0,0,0,0,0,20260501,20260501
G2511F_I2_020-05,0,0,0,0,0,0,0,20260501,20260501
G2511F_I2_020-06,0,0,0,0,0,0,0,20260501,20260501
G2511F_I2_020-07,0,0,0,0,0,0,0,20260501,20260501
G2511F_I2_021-01,0,0,0,0,0,0,0,20260501,20260501
G2511F_I2_021-02,0,0,0,0,0,0,0,20260501,20260501
G2511F_I2_021-03,0,0,0,0,0,0,0,20260501,20260501
G2511F_I2_021-04,0,0,0,0,0,0,0,20260501,20260501
G2511F_I2_021-05,0,0,0,0,0,0,0,20260501,20260501
G2511F_I2_021-06,0,0,0,0,0,0,0,20260501,20260501
G2511F_I2_022-01,0,0,0,0,0,0,0,20260501,20260501
G2511F_I2_022-02,0,0,0,0,0,0,0,20260501,20260501
G2511F_I2_022-03,0,0,0,0,0,0,0,20260501,20260501
G2511F_I2_023-01,0,0,0,0,0,0,0,20260501,20260501
G2511F_I2_023-02,0,0,0,0,0,0,0,20260501,20260501
G2511F_I2_023-03,0,0,0,0,0,0,0,20260501,20260501
G2511F_I2_025-01,0,0,0,0,0,0,0,20260501,20260501
G2511F_I2_025-02,0,0,0,0,0,0,0,20260501,20260501
G2511F_I2_025-03,0,0,0,0,0,0,0,20260501,20260501
G2511F_I2_025-04,0,0,0,0,0,0,0,20260501,20260501
G2511F_I2_025-05,0,0,0,0,0,0,0,20260501,20260501
G2511F_I2_028-01,0,0,0,0,0,0,0,20260501,20260501
G2511F_I2_031-01,0,0,0,0,0,0,0,20260501,20260501
G2511F_I2_031-02,0,0,0,0,0,0,0,20260501,20260501
G2511F_I2_031-03,0,0,0,0,0,0,0,20260501,20260501
G2511F_I2_032-01,0,0,0,0,0,0,0,20260501,20260501
G2511F_I2_032-02,0,0,0,0,0,0,0,20260501,20260501
G2511F_I2_033-01,0,0,0,0,0,0,0,20260501,20260501
G2511F_I2_034-01,0,0,0,0,0,0,0,20260501,20260501
G2511F_I2_035-01,0,0,0,0,0,0,0,20260501,20260501
G2511F_I2_037-01,0,0,0,0,0,0,0,20260501,20260501
G2511F_I2_038-01,0,0,0,0,0,0,0,20260501,20260501
G2511F_I2_041-01,0,0,0,0,0,0,0,20260501,20260501
G2511F_I2_041-02,0,0,0,0,0,0,0,20260501,20260501
G2511F_I2_041-03,0,0,0,0,0,0,0,20260501,20260501
G2511F_I2_041-04,0,0,0,0,0,0,0,20260501,20260501
G2511F_I2_041-05,0,0,0,0,0,0,0,20260501,20260501
G2511F_I2_042-01,0,0,0,0,0,0,0,20260501,20260501
G2511F_I2_044-01,0,0,0,0,0,0,0,20260501,20260501
G2511F_I2_044-02,0,0,0,0,0,0,0,20260501,20260501
G2511F_I2_049-01,0,0,0,0,0,0,0,20260501,20260501
G2511F_I2_049-02,0,0,0,0,0,0,0,20260501,20260501
G2511F_I2_049-03,0,0,0,0,0,0,0,20260501,20260501
G2511F_I2_071-01,0,0,0,0,0,0,0,20260501,20260501
G2511F_I2_071-02,0,0,0,0,0,0,0,20260501,20260501
G2511F_I2_071-03,0,0,0,0,0,0,0,20260501,20260501
G2511F_I2_071-04,0,0,0,0,0,0,0,20260501,20260501
G2511F_I2_072-01,0,0,0,0,0,0,0,20260501,20260501
G2511F_I2_072-02,0,0,0,0,0,0,0,20260501,20260501
G2511F_I2_072-03,0,0,0,0,0,0,0,20260501,20260501
G2511F_I2_072-04,0,0,0,0,0,0,0,20260501,20260501
G2511F_I2_075-01,0,0,0,0,0,0,0,20260501,20260501
G2511F_I2_075-02,0,0,0,0,0,0,0,20260501,20260501
G2511F_I2_075-03,0,0,0,0,0,0,0,20260501,20260501
G2511F_I2_075-04,0,0,0,0,0,0,0,20260501,20260501
G2511F_I2_075-05,0,0,0,0,0,0,0,20260501,20260501
G2511F_I2_075-06,0,0,0,0,0,0,0,20260501,20260501
G2511F_I2_076-01,0,0,0,0,0,0,0,20260501,20260501
G2601L_A96_001-01,0,0,0,0,0,0,0,20260504,20260508
G2601L_A96_001-02,0,0,0,0,0,0,0,20260504,20260508
G2601L_A96_001-03,0,0,0,0,0,0,0,20260504,20260508
G2601L_A96_001-04,0,0,0,0,0,0,0,20260504,20260508
G2601L_A96_001-05,0,0,0,0,0,0,0,20260504,20260508
G2601L_A96_001-06,0,0,0,0,0,0,0,20260504,20260508
G2601L_A96_001-07,0,0,0,0,0,0,0,20260504,20260508
G2601L_A96_001-08,0,0,0,0,0,0,0,20260504,20260508
G2601L_A96_001-09,0,0,0,0,0,0,0,20260504,20260508
G2601L_A96_001-10,0,0,0,0,0,0,0,20260504,20260508
G2601L_A96_001-11,0,0,0,0,0,0,0,20260504,20260508
G2601L_A96_001-12,0,0,0,0,0,0,0,20260504,20260508
G2601L_A96_001-13,0,0,0,0,0,0,0,20260504,20260508
G2601L_A96_001-14,0,0,0,0,0,0,0,20260504,20260508
G2601L_A96_001-15,0,0,0,0,0,0,0,20260504,20260508
G2601L_A96_001-16,0,0,0,0,0,0,0,20260504,20260508
G2601L_A96_002-01,0,0,0,0,0,0,0,20260504,20260508
G2601L_A96_002-02,0,0,0,0,0,0,0,20260504,20260508
G2601L_A96_002-03,0,0,0,0,0,0,0,20260504,20260508
G2601L_A96_002-04,0,0,0,0,0,0,0,20260504,20260508
G2601L_A96_002-05,0,0,0,0,0,0,0,20260504,20260508
G2601L_A96_002-06,0,0,0,0,0,0,0,20260504,20260508
G2601L_A96_003-01,0,0,0,0,0,0,0,20260504,20260508
G2601L_A96_003-02,0,0,0,0,0,0,0,20260504,20260508
G2601L_A96_003-03,0,0,0,0,0,0,0,20260504,20260508
G2601L_A96_003-04,0,0,0,0,0,0,0,20260504,20260508
G2601L_A96_003-05,0,0,0,0,0,0,0,20260504,20260508
G2601L_A96_003-06,0,0,0,0,0,0,0,20260504,20260508
G2601L_A96_003-07,0,0,0,0,0,0,0,20260504,20260508
G2601L_A96_003-08,0,0,0,0,0,0,0,20260504,20260508
G2601L_A96_003-09,0,0,0,0,0,0,0,20260504,20260508
G2601L_A96_003-10,0,0,0,0,0,0,0,20260504,20260508
G2601L_A96_003-11,0,0,0,0,0,0,0,20260504,20260508
G2601L_A96_003-12,0,0,0,0,0,0,0,20260504,20260508
G2601L_A96_004-01,0,0,0,0,0,0,0,20260504,20260508
G2601L_A96_004-02,0,0,0,0,0,0,0,20260504,20260508
G2601L_A96_004-03,0,0,0,0,0,0,0,20260504,20260508
G2601L_A96_004-04,0,0,0,0,0,0,0,20260504,20260508
G2601L_A96_004-05,0,0,0,0,0,0,0,20260504,20260508
G2601L_A96_004-06,0,0,0,0,0,0,0,20260504,20260508
G2601L_A96_005-01,0,0,0,0,0,0,0,20260504,20260508
G2601L_A96_005-02,0,0,0,0,0,0,0,20260504,20260508
G2601L_A96_005-03,0,0,0,0,0,0,0,20260504,20260508
G2601L_A96_007-01,0,0,0,0,0,0,0,20260504,20260508
G2601L_A96_007-02,0,0,0,0,0,0,0,20260504,20260508
G2601L_A96_007-03,0,0,0,0,0,0,0,20260504,20260508
G2601L_A96_007-04,0,0,0,0,0,0,0,20260504,20260508
G2601L_A96_007-05,0,0,0,0,0,0,0,20260504,20260508
G2601L_A96_007-06,0,0,0,0,0,0,0,20260504,20260508
G2601L_A96_007-07,0,0,0,0,0,0,0,20260504,20260508
G2601L_A96_007-08,0,0,0,0,0,0,0,20260504,20260508
G2601L_A96_007-09,0,0,0,0,0,0,0,20260504,20260508
G2601L_A96_007-10,0,0,0,0,0,0,0,20260504,20260508
G2601L_A96_007-11,0,0,0,0,0,0,0,20260504,20260508
G2601L_A96_007-12,0,0,0,0,0,0,0,20260504,20260508
G2601L_A96_007-13,0,0,0,0,0,0,0,20260504,20260508
G2601L_A96_007-14,0,0,0,0,0,0,0,20260504,20260508
G2601L_A96_008-01,0,0,0,0,0,0,0,20260504,20260508
G2601L_A96_008-02,0,0,0,0,0,0,0,20260504,20260508
G2601L_A96_008-03,0,0,0,0,0,0,0,20260504,20260508
G2601L_A96_008-04,0,0,0,0,0,0,0,20260504,20260508
G2601L_A96_008-05,0,0,0,0,0,0,0,20260504,20260508
G2601L_A96_008-06,0,0,0,0,0,0,0,20260504,20260508
