shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
12,36.6929220640796,-4.4636898189725,1,0
12,36.6929131778962,-4.46370130654541,2,1
12,36.69204290982,-4.46490815886699,3,146
12,36.6919368383602,-4.46503146959569,4,162
12,36.6918795010944,-4.46516822689435,5,176
12,36.6918852445632,-4.46537071599448,6,194
12,36.6918995849539,-4.4654736413453,7,203
12,36.6918666086937,-4.46557120219627,8,213
12,36.6918393667738,-4.46565351027538,9,221
12,36.6917949187653,-4.46570899618245,10,228
12,36.6917302479654,-4.46577558771768,11,237
12,36.6916963427323,-4.46581049988392,12,242
12,36.6915816278897,-4.46583484924071,13,255
12,36.6915719573895,-4.46583690189669,14,256
12,36.6914497226144,-4.46581234177441,15,270
12,36.6913627959332,-4.46574641761483,16,281
12,36.6912858142332,-4.46563646814062,17,294
12,36.6912760459362,-4.46558679739545,18,299
12,36.6912631412913,-4.46550230781144,19,306
12,36.6912577643553,-4.46543525258604,20,312
12,36.6912577643555,-4.46536551515161,21,318
12,36.6912986290589,-4.46522738138729,22,332
12,36.6913265891069,-4.46516971389344,23,338
12,36.6913674537739,-4.46512813965367,24,344
12,36.6914212230394,-4.46508254210042,25,351
12,36.6914717661148,-4.46505706111476,26,357
12,36.6915986852933,-4.46500256436966,27,372
12,36.6916804143163,-4.46498110669754,28,381
12,36.6917599924922,-4.46497306007049,29,390
12,36.6918223645182,-4.4649596490254,30,397
12,36.691867530437,-4.46494087356229,31,402
12,36.6919212993528,-4.46491136926312,32,409
12,36.6919643144585,-4.4648604072918,33,415
12,36.6920137818002,-4.46480944532051,34,422
12,36.692054646102,-4.46475311893117,35,429
12,36.6921385253903,-4.46464583057053,36,443
12,36.6924726256076,-4.46417896841625,37,498
12,36.6930361175438,-4.46340112780157,38,592
12,36.6933845341559,-4.46292905901475,39,649
12,36.6943867687396,-4.46152358149028,40,817
12,36.6944275755403,-4.46145689337079,41,824
12,36.69445123308,-4.46139252035441,42,831
12,36.694461986505,-4.46133082954703,43,836
12,36.6944684385591,-4.46119671909622,44,848
12,36.6944807287884,-4.46111156554473,45,856
12,36.6944877947184,-4.46106260864542,46,860
12,36.6945351097539,-4.46096336691182,47,871
12,36.6945781233973,-4.46092045156755,48,877
12,36.6946254383771,-4.46088826505937,49,883
12,36.694707164183,-4.46088021843232,50,892
12,36.6947910405775,-4.46090972273149,51,902
12,36.6948534101452,-4.46096336691182,52,910
12,36.6949609457654,-4.46103042213724,53,923
12,36.6950706299011,-4.46103042213724,54,936
12,36.6951200952443,-4.46099018900197,55,942
12,36.6951652592256,-4.46094459144871,56,949
12,36.6952641897584,-4.46080243437085,57,965
12,36.6953631201641,-4.46067905275613,58,981
12,36.6954082840025,-4.46060395090367,59,989
12,36.6956509452028,-4.4601923671436,60,1035
12,36.6956554212847,-4.46018477510204,61,1036
12,36.6957846510897,-4.45996558515781,62,1060
12,36.6959265937147,-4.45971882192834,63,1087
12,36.6962812571499,-4.45905354090113,64,1158
12,36.6964556520272,-4.45872640459236,65,1193
12,36.6964935119869,-4.4586574470196,66,1201
12,36.6967333940646,-4.45822052611112,67,1248
12,36.6967402712407,-4.45820799994911,68,1249
12,36.6971015728166,-4.45754992626483,69,1321
12,36.6977443033964,-4.45636796720526,70,1448
12,36.6977531239509,-4.45635174623007,71,1450
12,36.6979446102964,-4.4559996094535,72,1488
12,36.6989019745272,-4.45431290283292,73,1672
12,36.6989116917188,-4.45429578243275,74,1674
12,36.6992200668138,-4.45375247986539,75,1733
12,36.6995813586517,-4.45310874970153,76,1803
12,36.700054484234,-4.45226653607046,77,1895
12,36.7002136231683,-4.45194467098855,78,1929
12,36.7003088929441,-4.45173362534986,79,1951
12,36.7003141655799,-4.45172194514485,80,1952
12,36.7005017928325,-4.45130630524271,81,1994
12,36.7008802885674,-4.45049627811985,82,2078
12,36.701224368639,-4.44980426819369,83,2151
12,36.7014480198595,-4.44933219940688,84,2200
12,36.7016586542636,-4.44876824407706,85,2255
12,36.7016627929149,-4.44875716309563,86,2256
12,36.7017705965752,-4.4484685281037,87,2285
12,36.7018179071284,-4.44825931580044,88,2304
12,36.7019254310048,-4.44792672188245,89,2336
12,36.7020372556763,-4.44744392425956,90,2381
12,36.702204992379,-4.44675191433341,91,2446
12,36.7022652068947,-4.44641932041543,92,2476
12,36.7023426236501,-4.44616182834988,93,2501
12,36.7023730214899,-4.44595329980342,94,2519
12,36.702377031072,-4.44592579395645,95,2522
12,36.7023785339448,-4.44588502410981,96,2526
12,36.7023813319901,-4.44580911788885,97,2532
12,36.7023705796731,-4.44570317063273,98,2542
12,36.7023601531142,-4.44563418880676,99,2548
12,36.7023463124537,-4.44562075510748,100,2550
12,36.7023076040877,-4.44553492441898,101,2559
12,36.7022430901009,-4.44537667408704,102,2574
12,36.7021753456892,-4.44521724884143,103,2591
12,36.7021687682554,-4.44520176991883,104,2592
12,36.7021291152588,-4.44510845318548,105,2602
12,36.7015200719044,-4.4437205559418,106,2743
12,36.7013653944047,-4.44336808400342,107,2779
12,36.7010421595584,-4.44263152379083,108,2854
12,36.7010338245467,-4.44261253005649,109,2856
12,36.7009313766332,-4.44237907377444,110,2879
12,36.7008796884112,-4.44226128831523,111,2891
12,36.7006527348951,-4.4417764191891,112,2941
12,36.7006427002257,-4.44175498040951,113,2944
12,36.6999807746593,-4.44034082665996,114,3090
12,36.6999208660226,-4.44020862539884,115,3103
12,36.6999062484131,-4.44014564369514,116,3109
12,36.6998853822208,-4.44005573952396,117,3117
12,36.699880005888,-4.43990285361008,118,3131
12,36.6999133391458,-4.43974728548718,119,3146
12,36.699986260027,-4.43964604961373,120,3158
12,36.700074431717,-4.43953071462605,121,3172
12,36.7001291129929,-4.43945439526981,122,3181
12,36.7002336039688,-4.43940530867219,123,3193
12,36.7003221641086,-4.43937806299937,124,3203
12,36.7008110138663,-4.43922766646512,125,3259
12,36.7014333764504,-4.43901584177808,126,3331
12,36.7015945834172,-4.43896097350717,127,3349
12,36.7017551785495,-4.43887436724535,128,3369
12,36.701857440445,-4.43884115118533,129,3380
12,36.7018816617894,-4.43883444274764,130,3383
12,36.7020114197396,-4.43875053875881,131,3399
12,36.7026122595578,-4.43837344025958,132,3474
12,36.7026271922879,-4.43836406811182,133,3475
12,36.7026305801784,-4.43836159976365,134,3476
12,36.7028152824985,-4.43822702903084,135,3500
12,36.7030754866474,-4.43804463881766,136,3533
12,36.7034069385127,-4.43782003917359,137,3575
12,36.7038187476772,-4.43750742062405,138,3628
12,36.7043371688862,-4.43716656832125,139,3693
12,36.7047794176346,-4.43684082120655,140,3750
12,36.7051106312298,-4.43662497066977,141,3792
12,36.7054508976426,-4.43642041294205,142,3834
12,36.7057094193011,-4.43623395882013,143,3867
12,36.7057897862985,-4.43617599526955,144,3877
12,36.7057997944897,-4.43616877699469,145,3879
12,36.7058096241931,-4.43616168751817,146,3880
12,36.7061021893749,-4.43595067980051,147,3917
12,36.7067993552613,-4.43512540645385,148,4024
12,36.7073304935651,-4.43449397342959,149,4106
12,36.7079578282617,-4.43374816317328,150,4202
12,36.708148302985,-4.43352180099775,151,4231
12,36.7081557313882,-4.43351297303521,152,4232
12,36.7081603024785,-4.43350754072079,153,4233
12,36.7083415362915,-4.43329216049318,154,4261
